,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
837,37,right,Undocumented Immigrants,person,themselves,other,Treating,"The verb 'treating' is used metaphorically to characterize 'themselves' by comparing their treatment to how cattle are treated. This transcends the literal meaning of 'treating' (physical action) and employs a simile ('like cattle') to convey a figurative, non-physical metaphorical relationship, implying dehumanization or exploitation.",'Treating illegal immigrants themselves like cattle serves no purpose other than fulfilling someone's power fantasy.'
926,37,right,Undocumented Immigrants,person,illegals,other,wants,"The verb 'wants' is used metaphorically to personify the country as having desires or intentions toward 'illegals,' which transcends its literal meaning of a physical action. The metaphorical aspect lies in attributing a human-like desire to an abstract entity (the country), rather than describing a tangible action.",'Do you think this country wants these illegals there'
1041,37,right,Undocumented Immigrants,person,them,other,need,"The verb 'need' is used metaphorically to characterize 'them' as disposable resources. It transcends its literal meaning of physical necessity to convey a conceptual relationship of utilitarian exploitation, where 'them' are treated as replaceable tools rather than individuals.",'This country has a history of using immigrants in to build whatever we need and then tossing them out like trash when the job is done and we don't need them anymore.'
1310,37,right,Undocumented Immigrants,person,them,other,have,"The verb 'have' is used metaphorically to describe exerting control over 'them' (immigrants) through the prison system, rather than indicating literal physical possession. The metaphorical aspect lies in using 'have' to signify domination or subjugation via institutional mechanisms, not direct ownership.","'Trump is ""controlling"" immigration so well that we have them all in prisons....his billionaire colleagues making money off prisons!'"
1489,37,right,Undocumented Immigrants,person,you,other,care,"The verb 'care' is used metaphorically here to describe the target noun 'you' in terms of their emotional or attitudinal stance toward a specific group. While 'care' literally means to show concern, in this context, it transcends its original meaning to critique the insincerity or selective nature of the target's concern, without referring to a physical action. This use of 'care' as a metaphor for emotional investment or attitude qualifies as metaphorical.","'Good to know you only care about the people illegal immigrants kill, gotcha.'"
1662,37,right,Undocumented Immigrants,person,him,other,put,"The verb 'put' is used metaphorically to describe the act of confining 'him' in a cage, which symbolizes restriction or imprisonment rather than a literal physical action. The context suggests metaphorical confinement (e.g., 'darken our borders,' 'ineligible immigrant') rather than a direct physical act.",'David you are right to believe but we need to prosecute the bombin the WH and kick him out He be listed as ineligible immigrant to darken our borders or we’ll put him in a cage Oh yes Session too Bible and all Never giv Up I’m with u !'
1955,37,right,Undocumented Immigrants,person,themselves,other,see,"The verb 'see' is used metaphorically to convey understanding or perception of the magnitude of the issue, rather than describing a physical act of visual observation. The phrase 'see themselves the magnitude' implies grasping or comprehending the scale of the problem, which transcends the literal meaning of the verb.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
1959,37,right,Undocumented Immigrants,person,they,other,see,"The verb 'see' is used metaphorically to convey understanding or realization rather than literal visual perception. Here, 'see' characterizes 'they' as gaining comprehension of the magnitude of the issue, transcending its physical action meaning to imply cognitive grasping.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
2034,37,right,Undocumented Immigrants,person,husband,other,put,"The verb 'put' is used metaphorically to describe the husband's role in generating or disseminating ideas, actions, or content (e.g., 'supported everything her husband put out'). This transcends its literal meaning of physically placing an object, instead implying the husband's active production or release of abstract entities, which is a metaphorical extension of the verb's source meaning.","'BTW, she still married the orange horror for money, supported everything her horrible husband put out, worked illegally as an immigrant, and imported her parents using a rule her husband wants to outlaw'"
2043,37,right,Undocumented Immigrants,person,she,other,married,"The verb 'married' is used metaphorically here. Typically, 'married' refers to a physical action of uniting in marriage. However, in this context, 'she' is described as 'married the orange horror,' which implies an abstract or symbolic association rather than a literal marital act. The metaphorical use of 'married' suggests a non-physical relationship or alignment with 'the orange horror,' likely representing a metaphorical entity or situation rather than a person.","'BTW, she still married the orange horror for money, supported everything her horrible husband put out, worked illegally as an immigrant, and imported her parents using a rule her husband wants to outlaw'"
2107,37,right,Undocumented Immigrants,person,Morones,other,mocked,"The verb 'mocked' is used metaphorically to describe the act of ridiculing or belittling a statement or claim, rather than referring to a physical action. Here, it attributes the action of mocking to Enrique Morones in the context of his critique of David Hogg's actions, transcending its literal meaning of physically mocking someone.","'David Hogg got rid of half of them,” mocked Enrique Morones of Border Angels, an immigrant rights group.'"
2274,37,right,Undocumented Immigrants,person,one,other,gives,"The verb 'gives' is used metaphorically in the idiom 'gives a hoot,' which signifies 'caring about' or 'showing interest in.' Here, 'gives' does not describe a physical action of transferring something but instead personifies the target noun 'one' as an entity that can be 'given' (i.e., attention or concern), transcending its literal meaning.","'Help r own LEGAL dreamers in south Chicago, Appalachia, south central LA no one gives a hoot about them.'"
2278,37,right,Undocumented Immigrants,person,they,other,keep,"The verb 'keep' is used metaphorically to describe the continuation of the metaphorical action 'flooding in,' which represents an influx of people. Here, 'keep' does not denote a physical action of holding onto something but rather sustains the metaphorical process of persistent arrival, transcending its literal meaning.",'Give them amnesty and they will keep flooding in.'
2304,37,right,Undocumented Immigrants,person,them,other,Treats,"The verb 'treats' is used metaphorically to describe the manner in which 'them' is being handled, implying harsh or dehumanizing treatment. The phrase 'treats them like shit' employs a simile to convey contemptuous treatment, transcending the literal meaning of 'treat' (which involves providing something) to signify abusive or degrading conditions.",'Exploits them Treats them like shit no benefits horrible working conditions!'
2463,37,right,Undocumented Immigrants,person,migrants,other,compares,"The verb 'compares' is used metaphorically to characterize 'migrants' by attributing the conceptual framework of 'Nazis' to them, which transcends a literal description of physical action. The verb serves to frame migrants within a metaphorical analogy, implying a symbolic or ideological comparison rather than a direct physical equivalence.",'🚨🚨🚨 Fox News host compares migrants entering US to Nazis'
2538,37,right,Undocumented Immigrants,person,I,other,HEARD,"The verb 'HEARD' is used metaphorically to convey the concept of gaining knowledge or awareness about 'arrests,' rather than the literal act of perceiving sound. The source verb 'heard' is extended beyond its physical meaning to describe the target noun 'I' as acquiring information, which is a common metaphorical usage in phrases like 'heard of.'",'I'VE HEARD OF NO ARRESTS SINCE HE CAME INTO OFFICE.'
2784,37,right,Undocumented Immigrants,person,I,other,see,"The verb 'see' is used metaphorically to convey the mental process of perceiving or comprehending an abstract concept (i.e., understanding how a national emergency and wall could be required). It does not describe a physical act of vision but instead refers to cognitive interpretation of a hypothetical scenario.",'Also I do not see how a NATIONAL EMERGENCY &amp; WALL could possibly be required to prevent illegal immigrants from obtaining federal benefits that do not exist.'
2843,37,right,Undocumented Immigrants,person,I,other,documented,"The verb 'documented' is used metaphorically to describe the target noun 'I'. The phrase 'I am documented' implies a conceptualization of the self as a document or subject of documentation, transcending the literal action of recording information. It personifies 'I' as an object to be recorded, rather than describing a physical action of documenting a tangible entity.",'I am documented.'
144,38,left,Anti-Immigration Sentiment,thing,immigration,force,hurts,"The verb 'hurts' is used metaphorically to describe the negative impact of illegal immigration on the country, transcending its literal meaning of causing physical pain. It personifies the concept of immigration as an active agent capable of inflicting harm, which is not a physical action but a figurative characterization of its consequences.",'Illegal immigration only hurts this country.'
194,38,left,Anti-Immigration Sentiment,thing,narrative,force,victimizing,"The verb 'victimizing' is used metaphorically to describe the narrative as an active agent capable of causing harm, attributing a human action (victimizing) to an abstract concept (narrative). This personification transcends the literal meaning of the verb, which refers to direct physical harm, and instead conveys the idea that the narrative 'operates' as a force that harms illegal immigrants.",'Your cherry-picked narrative victimizing illegal immigrants?'
308,38,left,Anti-Immigration Sentiment,thing,platform,force,giving,"The verb 'giving' is used metaphorically to describe the act of providing a 'platform' as a stage or opportunity for discourse, rather than a physical transfer of an object. Here, 'giving' transcends its literal meaning to signify supporting or enabling the man's call for unlawful votes, which involves personification of the abstract concept 'platform' as a medium for expression.","'It is sad to that a church is giving a platform to a man who is calling for unlawful votes to count, which includes illegals and ballots in which signatures don't match.'"
420,38,left,Anti-Immigration Sentiment,thing,Immigration,force,Hurt,"The verb 'hurt' is used metaphorically to describe the negative impact or harm caused by illegal immigration on Black Americans. It transcends its literal meaning of causing physical pain to signify a broader socio-economic or emotional harm, rather than describing a direct physical action.","'Trump Is Correct, Black Americans Hurt Most by Illegal Immigration  via'"
445,38,left,Anti-Immigration Sentiment,thing,Millions,force,drain,"The verb 'drain' is used metaphorically to describe the abstract impact of 'Millions' on the country's resources, rather than a literal physical action. It conveys the idea of depleting or exhausting resources, which transcends the literal meaning of removing liquid.",'Millions of illegals will drain our country including your bank account.'
455,38,left,Anti-Immigration Sentiment,thing,nerve,force,struck,"The verb 'struck' is used metaphorically to convey that the comments caused an emotional reaction (hurt or offense) rather than a physical action. The phrase 'struck a nerve' is a common idiom where 'nerve' is personified as something that can be 'hit' or 'activated' emotionally, transcending its literal meaning of a physical anatomical structure.",'Your comments struck a nerve with Red-blooded American patriots who will never forget 9/11.'
457,38,left,Anti-Immigration Sentiment,thing,comments,force,struck,"The verb 'struck' is used metaphorically to describe the emotional impact of the comments, implying they caused a strong reaction (e.g., anger or hurt) rather than a physical action. The phrase 'struck a nerve' is a common metaphor for provoking an emotional response, not a literal physical strike.",'Your comments struck a nerve with Red-blooded American patriots who will never forget 9/11.'
472,38,left,Anti-Immigration Sentiment,thing,ass,force,give,"The verb 'give' is used metaphorically in the idiom 'give a rat's ass,' which conveys strong emotional investment or care. Here, 'give' does not describe a physical action but rather signifies a metaphorical transfer of concern, transcending its literal meaning.","'Does move on give a rat's ass about the families of the 45,000 Americans killed by illegals since 2001?'"
547,38,left,Anti-Immigration Sentiment,thing,it,force,creates,"The verb 'creates' is used metaphorically to attribute active agency to the abstract concept of 'poverty,' implying that poverty is an active cause of dependency. This transcends its literal meaning of physically bringing something into existence, instead personifying poverty as an entity capable of causing effects, which is a metaphorical extension.","'If Democrats control government they will allow poverty to grow, knowing it creates dependency &amp; that = votes.'"
549,38,left,Anti-Immigration Sentiment,thing,dependency,force,creates,"The verb 'creates' is used metaphorically to describe the causal relationship between poverty and dependency. While 'create' literally means to bring something into existence physically, here it is employed to signify a socio-economic cause-effect relationship, where poverty is portrayed as an agent that 'creates' dependency, transcending its literal physical action.","'If Democrats control government they will allow poverty to grow, knowing it creates dependency &amp; that = votes.'"
553,38,left,Anti-Immigration Sentiment,thing,narrative,force,pushing,"The verb 'pushing' is used metaphorically to describe the act of promoting or shaping the 'narrative,' which is an abstract concept. The verb transcends its literal meaning of applying physical force to an object, instead conveying influence or effort to direct the narrative's direction, akin to personification or conceptual metaphor.",'Lying Dems and people in the media have been pushing a narrative that the illegal alien migrants are coming here because of climate change.'
571,38,left,Anti-Immigration Sentiment,thing,disease,force,invested,"The verb 'invested' is used metaphorically to characterize 'disease' by implying an action of spreading or imposing the disease onto 'illegals,' which transcends its literal meaning of allocating resources. The metaphorical aspect involves personifying or animating the disease as an active agent, suggesting it is 'investing' itself in the illegals, rather than describing a physical action of resource allocation.",'No different then the evil Demonic Rats here who want these disease invested illegals here all for a vote!'
580,38,left,Anti-Immigration Sentiment,thing,It,force,getting,"The verb 'getting' is used metaphorically to characterize the target noun 'It' by describing an abstract increase in difficulty (i.e., the situation is becoming harder), rather than referring to a physical action. The metaphorical aspect lies in using 'getting' to convey a conceptual progression of hardship, not a tangible process.",'It's getting harder watching these illegals murder innocent US civilians.'
591,38,left,Anti-Immigration Sentiment,thing,hate,force,spewing,"The verb 'spewing' is used metaphorically to describe the abstract concept of 'hate' as something that can be forcefully expelled, akin to a physical substance. This transcends its literal meaning of expelling tangible objects, instead personifying 'hate' as a substance that can be 'spewed' out, implying intense emotional or verbal expression.","'Ladies/girls spewing hate and ""impeach"", if you dish it out then take it.'"
592,38,left,Anti-Immigration Sentiment,thing,it,force,dish,"'Dish' is used metaphorically here to describe the act of distributing or spreading 'it' (hate/impeach), which transcends its literal meaning of serving food. The verb 'dish' in this context refers to the non-physical action of dispensing criticism or negativity, aligning with its figurative use in phrases like 'dish out' to mean 'to spread (something negative)'. The target noun 'it' is personified as something that can be 'dished out', indicating a metaphorical extension of the verb's meaning.","'Ladies/girls spewing hate and ""impeach"", if you dish it out then take it.'"
593,38,left,Anti-Immigration Sentiment,thing,it,force,take,"The verb 'take' is used metaphorically to describe the action of receiving or accepting the target noun 'it' (hate/impeachment) as a consequence or burden. This transcends the literal physical action of taking something, instead implying an abstract process of enduring or absorbing the negative outcome, which aligns with metaphorical personification of the target noun as something to be 'taken' metaphorically.","'Ladies/girls spewing hate and ""impeach"", if you dish it out then take it.'"
605,38,left,Anti-Immigration Sentiment,thing,breath,force,waste,"The verb 'waste' is used metaphorically to characterize 'breath' by implying that speaking uselessly is akin to squandering an intangible resource. Literally, 'waste' refers to depleting physical resources, but here it metaphorically conveys futility, personifying 'breath' as a consumable entity, which transcends its physical action.",'Don’t waste your breath…'
628,38,left,Anti-Immigration Sentiment,thing,invasions,force,fixing,"The verb 'fixing' is used metaphorically to characterize the abstract concept of 'invasions' as something that can be corrected or addressed. While 'fixing' literally implies repairing or correcting tangible issues, here it is applied to the intangible damage caused by invasions, transcending its physical action to imply a conceptual resolution of the harm inflicted.",'Nothing wrong with fixing the damage “invasions” have caused to our country.'
710,38,left,Anti-Immigration Sentiment,thing,problem,force,solve,"The verb 'solve' is used metaphorically to describe the process of finding a solution to the problem, which transcends its literal meaning of resolving a puzzle or equation. The action of 'solving' a problem is not a physical action but a conceptual process, indicating the verb is employed beyond its literal scope to characterize the target noun.","'Yes the dems refuse to help solve the problem of illegals, we can’t afford them, Mexico couldn’t afford them but these democratic clowns refuse to work w/prez to fix it!!!'"
713,38,left,Anti-Immigration Sentiment,thing,number,force,cap,"The verb 'cap' is used metaphorically to describe limiting or restricting the number of beds, transcending its literal physical action of covering with a lid. Here, 'cap' conveys the abstract concept of imposing a maximum limit, which is a common metaphorical extension of the verb's meaning.",'Why would the Democrats want to cap the number of beds for their beloved illegals...?'
714,38,left,Anti-Immigration Sentiment,thing,right,force,dislike,"The verb 'dislike' is used metaphorically to express a negative attitude towards the political ideology of 'the right,' which is an abstract concept rather than a physical entity. The verb transcends its literal meaning of expressing aversion to a person or tangible object, instead conveying a metaphorical emotional stance toward an abstract idea.","'That is being ""close minded,"" but as radical as the left has become, this is acceptable as long as you dislike the right.'"
718,38,left,Anti-Immigration Sentiment,thing,Crow,force,Eating,"The verb 'Eating' is used metaphorically to convey the act of admitting defeat or humiliation ('eating crow'), which is an idiom. The target noun 'Crow' is part of the metaphorical expression, where 'eating crow' signifies swallowing pride or conceding a mistake, not a literal physical action involving the bird.",'😂Eating Crow Much😂🤣😂#JobsJobsJobs #Winning #MAGA #KAG‼️🚂🔴🐘🇺🇸#Dems🐀Platform #SayYesToMS13 #IllegalsOverAmericans #RaiseTaxes #SocializeMedicine #OpenBorders #DefundMilitary #DefundCBP #SayYesToAbortion #SayYesToIslam  #Abolish #2ndAmendment🤬'
750,38,left,Anti-Immigration Sentiment,thing,🐀Platform,force,Winning,"The verb 'Winning' is used metaphorically to characterize the target noun 'Platform' as a conceptual entity associated with success or dominance in a political/social context. It transcends its literal meaning of a physical victory, instead implying the platform's role in achieving ideological or strategic 'victories' (e.g., through hashtags like #MAGA or #Dems). The metaphorical aspect lies in equating the platform's influence or outcomes with the abstract concept of 'winning' rather than describing a tangible action.",'😂Eating Crow Much😂🤣😂#JobsJobsJobs #Winning #MAGA #KAG‼️🚂🔴🐘🇺🇸#Dems🐀Platform #SayYesToMS13 #IllegalsOverAmericans #RaiseTaxes #SocializeMedicine #OpenBorders #DefundMilitary #DefundCBP #SayYesToAbortion #SayYesToIslam  #Abolish #2ndAmendment🤬'
752,38,left,Anti-Immigration Sentiment,thing,opportunity,force,DESTROYS,"The verb 'DESTROYS' is used metaphorically to describe the impact of illegal immigration on 'opportunity,' which is an abstract concept. The verb transcends its literal meaning of causing physical damage and instead conveys a figurative sense of undermining or negating the possibility of opportunity, implying a conceptual rather than physical action.","'Hispanics don't want DEM handout BS lies&amp;pandering,they want a future but if come to USA illegally DESTROYS opportunity'"
781,38,left,Anti-Immigration Sentiment,thing,#IllegalsOverAmericans,force,Winning,"The verb 'Winning' is used metaphorically to characterize the target noun '#IllegalsOverAmericans'. It transcends its literal meaning of achieving victory in a competition and instead signifies the ideological or political 'victory' associated with the movement or stance represented by the hashtag. The use of 'Winning' here personifies the political cause as a form of triumph, implying support or endorsement of the policy position without referring to a physical action.",'😂Eating Crow Much😂🤣😂#JobsJobsJobs #Winning #MAGA #KAG‼️🚂🔴🐘🇺🇸#Dems🐀Platform #SayYesToMS13 #IllegalsOverAmericans #RaiseTaxes #SocializeMedicine #OpenBorders #DefundMilitary #DefundCBP #SayYesToAbortion #SayYesToIslam  #Abolish #2ndAmendment🤬'
797,38,left,Anti-Immigration Sentiment,thing,lies,force,save,"The verb 'save' is used metaphorically to describe the action of preserving or protecting 'American lies,' which is not a physical action. The metaphorical aspect lies in extending 'save' beyond its literal meaning of preserving tangible things to imply maintaining falsehoods, suggesting a conceptual equivalence where lies are treated as something that can be 'saved' from exposure or correction.",'Please #FundTheWall and save American lies.'
804,38,left,Anti-Immigration Sentiment,thing,slavery,force,fight,"The verb 'fight' is used metaphorically to describe the abstract struggle against slavery, personifying slavery as an opponent that can be 'fought.' While the action of fighting slavery involves real efforts (e.g., legislative or social activism), the verb 'fight' here transcends its literal physical meaning to convey a conceptual battle, aligning with metaphorical usage as it does not refer to a direct physical action.",'That Slaves the Abe Lincoln lost millions to fight slavery and to be free..'
841,38,left,Anti-Immigration Sentiment,thing,rights,force,defend,"The verb 'defend' is used metaphorically to characterize the abstract target noun 'rights.' While 'defend' literally refers to protecting from physical harm, here it is applied to 'rights' (an abstract concept), transcending its original meaning. This usage reflects a metaphorical extension where the verb conveys the idea of safeguarding abstract entities from violation, rather than describing a tangible physical action.",'I think that we should defend the rights of residents not to be KILLED by not letting illegals come in un-vetted in the 1st place!!!'
892,38,left,Anti-Immigration Sentiment,thing,Crash,force,Fueled,"The verb 'fueled' is used metaphorically to describe the crash as being 'driven' by alcohol, extending the source verb's literal meaning of providing fuel to a physical action. Here, 'fueled' signifies that alcohol acted as a causal force behind the crash, personifying the crash as if it were an entity propelled by alcohol, rather than describing a direct physical action on the crash itself.",'Death By Open Border: Illegal Alien Killed Alabama Nurse In Alcohol-Fueled Crash'
907,38,left,Anti-Immigration Sentiment,thing,which,force,fuelled,"The verb 'fuelled' is used metaphorically to describe the nation's situation as causing an increase in crime, rather than describing a physical action of supplying fuel. The metaphorical aspect lies in equating the influx of migrants to a fuel source that intensifies violent crime, personifying the nation's circumstances as an active agent driving the escalation.","'Tens of thousands of migrants continue to pour in to the Nordic nation, which has fuelled a stunning spike in violent crime, sexual assault, and gang warfare.'"
909,38,left,Anti-Immigration Sentiment,thing,it,force,resist,"The verb 'resist' is used metaphorically to describe the abstract action of opposing the attacks on immigrants, which are not a physical entity but a conceptual target. The verb transcends its literal meaning of physical resistance to convey a metaphorical stance against a systemic or social issue.","'Now that the attacks on immigrants are normal, will we allow it, resist it?'"
921,38,left,Anti-Immigration Sentiment,thing,it,force,Take,"The verb 'take' is used metaphorically here to characterize 'it' as an abstract concept (likely an issue or topic) rather than a physical object. The phrase 'take it up with them' implies initiating a discussion or addressing an issue, which transcends the literal meaning of 'take' (grasping or carrying physically). The metaphorical aspect lies in using 'take' to signify the act of bringing something (abstract) to others' attention.",'Take it up with them.'
930,38,left,Anti-Immigration Sentiment,thing,GO,force,broke,"The verb 'broke' is used metaphorically to describe the government's inability to afford or handle financial obligations (paying welfare). 'Broke' here does not refer to a physical action of breaking but rather signifies financial insolvency, which is a metaphorical extension of the verb's original meaning.",'We have to drop them off in sancturary cities who vouch safe for illegals  THE GOV WONT GO broke paying illegals welfare so states better BUDGET for influx of applicants'
943,38,left,Anti-Immigration Sentiment,thing,care,force,Take,"The verb 'take' is used metaphorically to characterize 'care' as something that can be 'taken' or managed, transcending its literal meaning of physically grasping. Here, 'take' signifies responsibility or attention, personifying 'care' as an entity that requires active handling, rather than describing a physical action.",'Take care of your own people.'
967,38,left,Anti-Immigration Sentiment,thing,slings,force,receive,"The verb 'receive' is used metaphorically to characterize the target noun 'slings' as something being endured or faced, rather than a literal physical action. The phrase 'receive slings & arrows' evokes the metaphor of enduring criticism or hardships (as in Shakespeare's 'slings and arrows of outrageous fortune'), where 'receive' transcends its literal meaning to imply acceptance of challenges, not a tangible act of receiving objects.","'.  ""Happy to receive slings &amp; arrows"" - on   Americans elected   to build a wall, STOP the drugs, illegal immigration and stop the crime, etc.'"
1018,38,left,Anti-Immigration Sentiment,thing,problem,force,increases,"The verb 'increases' is used metaphorically to describe the escalation of the problem, treating the abstract concept of 'problem' as something that can grow or expand. This transcends the literal physical action of increasing, instead implying a metaphorical intensification of the issue.","'I agree that illegals are bringing these diseases, the problem increases exponentially when exposing children of crazy antivaxxers.'"
1046,38,left,Anti-Immigration Sentiment,thing,sense,force,use,"The verb 'use' is applied to the abstract noun 'sense,' which is not a physical entity that can be acted upon. Here, 'use' metaphorically signifies the application of reasoning or judgment, transcending its literal physical action. The verb is used to personify 'sense' as a resource that can be 'applied,' which is a metaphorical extension beyond its literal meaning.","'4 those who believe the migrant ""caravan"" is organic and not organized by SOROS via $ to economic collapsing Venezualia and in sync with midterms, do just a little research and use your unbiased common sense.'"
1049,38,left,Anti-Immigration Sentiment,thing,spike,force,fuelled,"The verb 'fuelled' is used metaphorically to describe how the influx of migrants has caused an increase ('spike') in crime. The source verb 'fuel' (to supply energy) is applied to the abstract concept of a 'spike' (a sharp rise), implying that the migrants are the catalyst or 'fuel' for the increase, rather than describing a physical action.","'Tens of thousands of migrants continue to pour in to the Nordic nation, which has fuelled a stunning spike in violent crime, sexual assault, and gang warfare.'"
1061,38,left,Anti-Immigration Sentiment,thing,resentment,force,creates,"The verb 'creates' is used metaphorically to describe the abstract process of generating 'resentment,' an emotion. The verb transcends its literal meaning of physical creation, instead implying a causal relationship between false rhetoric and the emergence of resentment, which is an abstract concept rather than a tangible action.",'Which is false rhetoric &amp; only creates resentment.'
1083,38,left,Anti-Immigration Sentiment,thing,care,force,give,"The verb 'give' is used metaphorically to represent the act of showing care or attention. In this context, 'give a care' does not describe a physical transfer of care but instead conveys a lack of concern or attention, transcending the literal meaning of the verb.",'Democrats put illegals first and don’t give a care about these families!'
1126,38,left,Anti-Immigration Sentiment,thing,it,force,take,"The verb 'take' is used metaphorically here, transcending its literal meaning of physically handling something. Instead, it conveys the abstract concept of enduring or tolerating a situation ('it'), which is not a physical action. The metaphorical aspect involves personifying or metaphorizing the target noun 'it' as something that can be 'taken' in a non-literal, emotional sense.",'How much longer are we supposed to take it?'
1130,38,left,Anti-Immigration Sentiment,thing,class,force,decimated,"The verb 'decimated' is used metaphorically to describe the severe negative impact on the middle-class, extending its original meaning of mass destruction (typically literal, e.g., military decimation) to signify economic devastation rather than a literal reduction in numbers.","'Just look at his accomplishments, $20 Trillion in Debt, illegals over-running our economy, middle-class decimated'"
1131,38,left,Anti-Immigration Sentiment,thing,economy,force,running,"The verb 'running' is used metaphorically to describe the economy as if it were a physical entity that can be 'over-run' by illegals. This transcends its literal meaning of physical movement, instead conveying the idea of the economy being overwhelmed or strained, akin to a physical overflow.","'Just look at his accomplishments, $20 Trillion in Debt, illegals over-running our economy, middle-class decimated'"
1161,38,left,Anti-Immigration Sentiment,thing,crisis,force,creating,"The verb 'creating' is used metaphorically to imply that the ACLU's actions caused the crisis, transcending its literal meaning of bringing something into physical existence. Here, 'creating' metaphorically conveys the idea of instigating or causing a problematic situation, rather than literally constructing a tangible object.",'ACLU is to be blamed for creating this crisis...'
1199,38,left,Anti-Immigration Sentiment,thing,problem,force,solved,"The verb 'solved' is used metaphorically to characterize the target noun 'problem' by implying resolution through the action of deportation. While deportation is a physical action, the verb 'solved' transcends its literal meaning of resolving an abstract issue, applying a conceptual metaphor where the problem is 'resolved' through a specific intervention, rather than describing a direct physical action.",'It’s also important to follow the laws of the land so deport the illegals before the census - that problem is solved then'
1211,38,left,Anti-Immigration Sentiment,thing,rules,force,bend,"The verb 'bend' is used metaphorically to describe the manipulation of abstract concepts ('rules') rather than a physical action. 'Bend' literally refers to altering the shape of a flexible object, but here it signifies violating or circumventing rules, which transcends its physical meaning to convey a non-literal, figurative sense.","'They'll bend rules, break the law, bribe, manipulate, and brainwash illegals, immigrants, and minorities to secure their vote.'"
1222,38,left,Anti-Immigration Sentiment,thing,law,force,break,"The verb 'break' is used metaphorically to describe the act of violating the law. While 'break' typically denotes a physical action, here it is applied to an abstract concept ('law') to signify transgression, transcending its literal meaning through personification or figurative representation.","'They'll bend rules, break the law, bribe, manipulate, and brainwash illegals, immigrants, and minorities to secure their vote.'"
1256,38,left,Anti-Immigration Sentiment,thing,I,force,despise,"The verb 'despise' is used metaphorically to convey intense contempt toward an abstract concept ('what she represents'), rather than a physical entity. The verb transcends its literal meaning of expressing hatred toward a tangible object or person, instead applying to an abstract idea, which is a metaphorical extension of the source verb.",'I'm a brown legal immigrant and I despise what she represents.'
1363,38,left,Anti-Immigration Sentiment,thing,vaccines,force,depopulating,"'Depopulating' is used metaphorically here. The verb 'depopulating' originally refers to reducing a population, typically through emigration, war, or disease. In the sentence, it is applied to 'vaccines,' which are not physically capable of reducing population. The metaphorical aspect lies in attributing the effect of depopulation to vaccines, implying they cause a decline in population (likely through disease or harm), which transcends their literal function of preventing disease.","'Instead of pumping more depopulating vaccines into our kids, how about the US stops illegals from pouring over our borders.'"
1366,38,left,Anti-Immigration Sentiment,thing,vaccines,force,pumping,"The verb 'pumping' is used metaphorically to describe the action of administering vaccines, which does not correspond to the literal physical action of moving liquid via pumping. The verb transcends its literal meaning to convey the act of delivering vaccines, implying a metaphorical extension of the verb's application to a non-physical process.","'Instead of pumping more depopulating vaccines into our kids, how about the US stops illegals from pouring over our borders.'"
1375,38,left,Anti-Immigration Sentiment,thing,Shoe,force,Horned,"The verb 'horned' is used metaphorically to describe the action of 'bringing someone into a position' (as president), drawing on the idiom 'to horn someone in' which metaphorically signifies manipulating or pushing someone into a role. This transcends the literal meaning of 'horned' (having horns) and applies it to the shoe as a metaphor for the act of insertion or coercion.",'The Democrats Shoe Horned A Foreigner In As President BHO!'
1388,38,left,Anti-Immigration Sentiment,thing,migration,force,pushing,"The verb 'pushing' is used metaphorically to describe NGOs' active role in driving or accelerating 'mass migration.' Literally, 'pushing' implies a physical force, but here it signifies influence, advocacy, or facilitation of migration, transcending direct physical action.",'Not to mention 100's of NGO's pushing mass migration?'
1393,38,left,Anti-Immigration Sentiment,thing,100's,force,pushing,"The verb 'pushing' is used metaphorically to describe NGOs' active role in driving or promoting mass migration, rather than depicting a physical action. It attributes a physical force to abstract actions (advocacy, policy influence), personifying the NGOs' efforts as if they are literally 'pushing' migration, which transcends its literal meaning.",'Not to mention 100's of NGO's pushing mass migration?'
1448,38,left,Anti-Immigration Sentiment,thing,crisis,force,manufacturing,"The verb 'manufacturing' is used metaphorically to describe the intentional creation of a 'crisis' as a strategic tool, rather than a physical action. It implies deliberate orchestration of a situation for political purposes, transcending its literal meaning of producing tangible goods.",'your party has stood by for DECADES without even proposing meaningful legislation to comprehensively reform immigration in hopes of manufacturing a useful crisis you could blame on repubs and exploit for cheap votes.'
1479,38,left,Anti-Immigration Sentiment,thing,care,force,take,"The verb 'take' is used metaphorically in the phrase 'take care' to convey the abstract concept of providing attention or responsibility for someone's well-being. This usage transcends its literal meaning of physically handling or carrying something, instead expressing a figurative act of care, which is a common idiomatic expression.","'America has enough homeless, let’s take care of our citizens before borrowing more to help illegals!'"
1480,38,left,Anti-Immigration Sentiment,thing,’s,force,take,"The verb 'take' is used metaphorically to describe the action of providing care for 'citizens,' which transcends its literal meaning of physically taking something. The phrase 'take care of' employs 'take' to signify responsibility or attention, rather than a direct physical action.","'America has enough homeless, let’s take care of our citizens before borrowing more to help illegals!'"
